Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
urubu,CPP,STL,O1,cpp/stl_sortO1,10000000-5.in,10000000,939.0
urubu,D,sort,O0,d/sortgdcO0,10000000-4.in,10000000,2654.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-5.in,10000000,4772.0
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000000-2.in,1000000,373.0
urubu,Python,quicksort,,python/quicksort.py,100-1.in,100,0.0
urubu,Python,quicksort,,python/quicksort.py,100-2.in,100,0.0
urubu,D,sort,O3,d/sortgdcO3,100000-2.in,100000,9.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,1000000-5.in,1000000,404.0
urubu,CPP,STL,O1,cpp/stl_sortO1,1000-1.in,1000,0.0
urubu,CPP,STL,O2,cpp/stl_sortO2,1000-3.in,1000,0.0
urubu,CPP,STL,O0,cpp/stl_sortO0,10000000-5.in,10000000,4653.0
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000000-4.in,10000000,959.0
urubu,CPP,STL,O3,cpp/stl_sortO3,10000-5.in,10000,1.0
urubu,D,sort,O1,d/sortgdcO1,1000-3.in,1000,0.0
urubu,D,sort,O1,d/sortgdcO1,10-3.in,10,0.0
urubu,CPP,STL,O2,cpp/stl_sortO2,10000000-3.in,10000000,841.0
urubu,D,sort,O0,d/sortgdcO0,10000-1.in,10000,1.0
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000000-3.in,1000000,81.0
urubu,CPP,STL,O3,cpp/stl_sortO3,100-1.in,100,0.0
urubu,CPP,STL,O0,cpp/stl_sortO0,1000-4.in,1000,0.0
urubu,CPP,STL,O3,cpp/stl_sortO3,100000-3.in,100000,6.0
urubu,CPP,STL,O1,cpp/stl_sortO1,100-2.in,100,0.0
urubu,CPP,STL,O1,cpp/stl_sortO1,1000-2.in,1000,0.0
urubu,D,sort,O0,d/sortgdcO0,10000-3.in,10000,1.0
urubu,CPP,STL,O0,cpp/stl_sortO0,1000-5.in,1000,0.0
urubu,OCaml,heap_sort,,ocaml/heap_sort.native,1000000-1.in,1000000,612.0
urubu,CPP,STL,O2,cpp/stl_sortO2,1000-1.in,1000,0.0
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-1.in,10000000,4351.0
urubu,Python,sort,,python/sort.py,1000000-4.in,1000000,637.0
urubu,Python,sort,,python/sort.py,1000-2.in,1000,0.0
urubu,Python,sort,,python/sort.py,100-5.in,100,0.0
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100000-1.in,100000,7.0
urubu,CPP,STL,O2,cpp/stl_sortO2,1000000-5.in,1000000,71.0
urubu,D,sort,O2,d/sortgdcO2,1000-5.in,1000,0.0
urubu,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000-3.in,1000,0.0
urubu,D,sort,O2,d/sortgdcO2,10-5.in,10,0.0
