Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-3.in,10000000,9.03922205100001
urubu,D,sort,O3,d/sortgdcO3,100-1.in,100,0.07842589199998429
urubu,CPP,STL,O1,cpp/stl_sortO1,1000000-3.in,1000000,0.6628103369999963
urubu,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100-4.in,100,0.0267519549999804
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-1.in,10000000,8.905566628999992
urubu,Python,sort,,python/sort.py,10000-1.in,10000,0.07937292399998341
urubu,D,sort,O2,d/sortgdcO2,10000000-1.in,10000000,5.756152605000011
urubu,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10-4.in,10,0.06969427699999642
urubu,D,sort,O2,d/sortgdcO2,1000-1.in,1000,0.012767716000013252
urubu,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100-2.in,100,0.018442410999995218
urubu,D,sort,O2,d/sortgdcO2,100000-4.in,100000,0.07405863299999282
urubu,CPP,STL,O1,cpp/stl_sortO1,10-4.in,10,0.0016079890000071373
urubu,CPP,STL,O3,cpp/stl_sortO3,100-5.in,100,0.01661754000002702
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,1000-5.in,1000,0.02426550200001998
urubu,CPP,STL,O2,cpp/stl_sortO2,100000-3.in,100000,0.08945552400001588
urubu,CPP,STL,O1,cpp/stl_sortO1,10000-2.in,10000,0.007125256000023228
urubu,CPP,STL,O0,cpp/stl_sortO0,1000-3.in,1000,0.037190688000009686
urubu,OCaml,heap_sort,,ocaml/heap_sort.native,100000-4.in,100000,0.1187678660000131
urubu,D,sort,O3,d/sortgdcO3,100-2.in,100,0.0018312370000046485
urubu,CPP,STL,O0,cpp/stl_sortO0,1000-2.in,1000,0.0030931699999996454
urubu,CPP,STL,O0,cpp/stl_sortO0,1000000-5.in,1000000,0.9144533159999924
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-1.in,10000000,8.17659629100001
urubu,CPP,STL,O0,cpp/stl_sortO0,100-2.in,100,0.0016770489999942129
urubu,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100000-2.in,100000,0.09358736899997666
urubu,D,sort,O3,d/sortgdcO3,1000000-4.in,1000000,0.5867039299999988
urubu,D,sort,O2,d/sortgdcO2,10-3.in,10,0.0019904890000077557
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,100000-2.in,100000,0.06712871100000939
urubu,CPP,STL,O3,cpp/stl_sortO3,10000000-5.in,10000000,5.683611984000009
urubu,D,sort,O2,d/sortgdcO2,1000-3.in,1000,0.002216814999997041
