Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,10000-1.in,10000,0.009366658000033112
hubert-pc,D,sort,O0,d/sortgdcO0,1000000-1.in,1000000,0.7818026850000024
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,100000-5.in,100000,0.05198429400002169
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,100000-3.in,100000,0.08015494299996817
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100000-5.in,100000,0.07681739999998172
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-5.in,10000000,9.904117982999992
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,10-4.in,10,0.1624111979999725
hubert-pc,D,sort,O1,d/sortgdcO1,10000000-5.in,10000000,5.4078543830000285
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,10000-2.in,10000,0.010093045000019174
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,1000-1.in,1000,0.001755070000001524
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,100000-4.in,100000,0.07554362700000183
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,10000000-3.in,10000000,5.067732083999999
hubert-pc,D,sort,O0,d/sortgdcO0,10-5.in,10,0.0019163599999956205
hubert-pc,D,sort,O1,d/sortgdcO1,10-5.in,10,0.0014465890000110448
hubert-pc,D,sort,O0,d/sortgdcO0,100000-3.in,100000,0.07771893599999657
hubert-pc,D,sort,O2,d/sortgdcO2,10000-5.in,10000,0.007099040000014156
hubert-pc,Python,quicksort,,python/quicksort.py,10000-3.in,10000,0.060561174999975265
hubert-pc,Python,quicksort,,python/quicksort.py,1000000-1.in,1000000,5.908725032999996
hubert-pc,Python,sort,,python/sort.py,100000-5.in,100000,0.13805378699998982
hubert-pc,D,sort,O1,d/sortgdcO1,10-3.in,10,0.0018104380000067977
hubert-pc,Python,quicksort,,python/quicksort.py,10000000-5.in,10000000,70.19167287199997
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,1000000-5.in,1000000,0.8545313829999941
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,1000000-2.in,1000000,0.7949241730000267
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000-4.in,10000,0.008075353999970503
hubert-pc,Python,sort,,python/sort.py,1000000-5.in,1000000,1.4829957669999771
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,10000000-1.in,10000000,5.050694866000015
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-3.in,10000000,8.579549165000003
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,100000-4.in,100000,0.07753607900002635
hubert-pc,Python,quicksort,,python/quicksort.py,1000000-3.in,1000000,5.78981397900003
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100-5.in,100,0.001849603999971805
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000-2.in,1000,0.0018074339999998301
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000-2.in,1000,0.0016370639999649939
hubert-pc,D,sort,O0,d/sortgdcO0,10000-1.in,10000,0.008960083000033592
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,1000-2.in,1000,0.001967755999999099
hubert-pc,D,sort,O0,d/sortgdcO0,10000000-1.in,10000000,8.204948076999983
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,1000-4.in,1000,0.0025858169999537495
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000000-4.in,1000000,0.5011680110000043
hubert-pc,D,sort,O3,d/sortgdcO3,100000-2.in,100000,0.055115126999965014
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000-5.in,10000,0.00633044199997812
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,10000-5.in,10000,0.008576360999995813
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10-1.in,10,0.0013896340000201235
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-2.in,10000000,9.894872844999952
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-3.in,10000000,9.87546295200002
hubert-pc,Python,quicksort,,python/quicksort.py,100000-5.in,100000,0.4808422580000524
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,1000000-1.in,1000000,0.4959814280000501
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100-5.in,100,0.0017843780000248444
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,10000-4.in,10000,0.006483582999976534
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,100000-2.in,100000,0.05303235899998526
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,10-3.in,10,0.0013464990000784383
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000000-4.in,1000000,0.7910975470000494
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-3.in,10,0.0017656259999512258
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,100-4.in,100,0.0011222619999671224
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,10-4.in,10,0.0016700840000112294
hubert-pc,D,sort,O0,d/sortgdcO0,10000-3.in,10000,0.008420857000032811
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000000-1.in,10000000,5.367718324000066
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10-4.in,10,0.0018136109999886685
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,1000000-2.in,1000000,0.8291346299999987
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,1000000-5.in,1000000,0.7914155199999868
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,100000-5.in,100000,0.052412043000003905
hubert-pc,Python,sort,,python/sort.py,1000-4.in,1000,0.02403724600003443
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,1000000-4.in,1000000,0.49139038900000287
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,10-3.in,10,0.001800582999976541
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10-4.in,10,0.0016955140000618485
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,100-5.in,100,0.0015452000000095722
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,1000-3.in,1000,0.0019914289999860557
hubert-pc,D,sort,O0,d/sortgdcO0,1000000-4.in,1000000,0.7794664870000361
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,10000-5.in,10000,0.00698397799999384
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-4.in,10,0.0013680929999964064
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000000-2.in,1000000,0.5051135290000275
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,100-2.in,100,0.0016453850000743842
