Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
XPSR,CPP,STL,O3,cpp/stl_sortO3,1000-2.in,1000,0.005181308000032914
XPSR,D,sort,O2,d/sortgdcO2,100-5.in,100,0.008707564000019374
XPSR,CPP,STL,O2,cpp/stl_sortO2,10000-3.in,10000,0.009025143000030766
XPSR,Python,sort,,python/sort.py,10-4.in,10,0.03332258799991905
XPSR,CPP,STL,O0,cpp/stl_sortO0,10-1.in,10,0.002725188999988859
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,100000-3.in,100000,0.08615383699998347
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10-2.in,10,0.0024774510000042937
XPSR,CPP,STL,O0,cpp/stl_sortO0,1000000-4.in,1000000,1.0600854890000164
XPSR,CPP,STL,O2,cpp/stl_sortO2,100000-2.in,100000,0.06658590199992886
XPSR,CPP,STL,O1,cpp/stl_sortO1,10000000-4.in,10000000,6.472376600999951
XPSR,Python,sort,,python/sort.py,10000000-2.in,10000000,19.280720879
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-3.in,10000000,11.056781698000009
XPSR,D,sort,O1,d/sortgdcO1,1000000-3.in,1000000,0.6958237929999314
XPSR,D,sort,O0,d/sortgdcO0,10000-5.in,10000,0.023099575000060213
XPSR,CPP,STL,O1,cpp/stl_sortO1,100-1.in,100,0.0020787830000017493
XPSR,CPP,STL,O2,cpp/stl_sortO2,10-3.in,10,0.0019172790000538953
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000-3.in,10000,0.01195064299997739
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100-4.in,100,0.00208034900003895
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-4.in,10000000,11.15073066900004
XPSR,D,sort,O0,d/sortgdcO0,10000000-1.in,10000000,10.679464332000066
XPSR,Python,sort,,python/sort.py,1000-5.in,1000,0.03577400100004979
XPSR,D,sort,O0,d/sortgdcO0,100-4.in,100,0.0017738839999310585
XPSR,D,sort,O1,d/sortgdcO1,1000-5.in,1000,0.002231231999985539
